ticker,date,headline,content,source,overall_sentiment_score,overall_sentiment_label
AAPL,2023-01-06,Garmin Venu Sq2 Review | A fitness lifestyle companion,"The Garmin Venu Sq2 is reviewed as a robust fitness lifestyle companion that boasts impressive battery life, lasting over a week on a single charge. The review highlights its advanced health tracking features, accurate GPS, AMOLED display, and subscription-free breathing exercises, making it suitable for those pursuing new fitness goals despite its cost. The article details its performance across various activities including running, HIIT, Pilates, swimming, and even scuba diving, affirming its versatility and improvement over its predecessor.",The Hindu,0.290612,Somewhat-Bullish
AAPL,2023-01-06,Kartoon Channel! Expands Global Reach,"Kartoon Channel!, owned by Genius Brands International, has expanded its global distribution through new partnerships. The channel is now available on Vizio smart TVs in North America and via in-flight entertainment systems on several major airlines, including British Airways and Qatar Airways. This expansion aligns with Kartoon Channel!'s strategy to diversify its business model and reach more viewers worldwide.",World Screen,0.479172,Bullish
AAPL,2023-01-06,Nordstrom appoints Atticus Tysen to its board of directors,"Nordstrom, Inc. has announced the appointment of Atticus Tysen to its board of directors, effective January 3, 2023. Tysen brings over three decades of engineering and information security experience, currently serving as senior vice president of product development, chief information security, and fraud prevention officer for Intuit. His expertise is expected to enhance the board's focus on technology and cybersecurity within the retail industry.",FashionUnited UK,0.175884,Somewhat-Bullish
AAPL,2023-01-06,Qualcomm partners with Iridium to develop satellite connectivity,"Qualcomm has announced a partnership with Iridium to launch Snapdragon Satellite, bringing satellite connectivity to next-generation premium Android phones and other devices. This service will enable global mobile messaging and emergency services in areas without traditional coverage. Other companies like Apple, Bullitt Group, T-Mobile with SpaceX, BICS with Lynk, AST SpaceMobile, and Huawei are also actively developing their own satellite connectivity solutions, highlighting a growing race for space-based mobile communication.",Data Center Dynamics,0.213909,Somewhat-Bullish
AAPL,2023-01-08,You might actually want a TiVo TV someday,"Xperi, the company that owns the TiVo brand, is launching its own TiVo OS smart TV platform in Europe in the first half of 2023, with U.S. availability planned for the future. The platform focuses on content discovery over apps, offering recommendations across various streaming services and an intuitive voice search. While it currently lacks a robust app store compared to competitors, its neutral approach and potential for ad revenue sharing aim to attract TV manufacturers.",TechHive,0.165609,Somewhat-Bullish
AAPL,2023-01-09,U.S. Supreme Court lets Meta's WhatsApp pursue 'Pegasus' spyware suit,"The U.S. Supreme Court has allowed Meta Platforms Inc's WhatsApp to proceed with a lawsuit against Israel's NSO Group. WhatsApp accuses NSO Group of exploiting a bug in its messaging app to install ""Pegasus"" spyware, enabling the surveillance of 1,400 individuals, including journalists and human rights activists. NSO Group had argued for immunity, claiming it acted as an agent for foreign governments, but the Supreme Court rejected their appeal.",Reuters,0.215245,Somewhat-Bullish
AAPL,2023-01-10,"Illumina, the DNA sequencing giant, gives Wall Street bad news","Illumina, the world's largest maker of DNA sequencing technology, has delivered disappointing news to investors, announcing a lower profit outlook for 2023. The company, which has successfully driven down the cost of sequencing a human genome, is now facing challenges due to its own success and uncertainties in funding for genetic research. Consequently, Illumina's stock price has significantly dropped from its peak in 2021.",STAT,-0.154449,Somewhat-Bearish
AAPL,2023-01-10,Inari’s share price down over 4% as Apple plans to drop Broadcom chip from devices,"Inari Amertron Bhd's share price dropped over 4% after reports that Apple plans to replace Broadcom's Wi-Fi and Bluetooth chips with in-house designs by 2025. Although Inari's exposure to Broadcom is mainly on complex RF chips, which are harder to replace in the short term, the news still impacted the company's stock given its significant reliance on Broadcom. Apple is Broadcom's largest customer, accounting for about 20% of its revenue, and Inari is heavily dependent on Broadcom.",The Edge Malaysia,-0.141377,Neutral
AAPL,2023-01-10,"Pepsi, Coke soda pricing targeted in new federal probe","The Federal Trade Commission has launched a preliminary investigation into Coca-Cola and PepsiCo's pricing strategies for potential price discrimination in the soft drink market. This probe revives the largely dormant Robinson-Patman Act of 1936, which prohibits suppliers from offering better prices to large retailers over smaller competitors. The investigation signals the Biden administration's broader effort to apply antitrust scrutiny beyond the tech sector to traditional large companies.",Politico,-0.107233,Neutral
AAPL,2023-01-11,Apple Watch patent infringement finding; Masimo seeks import ban,"A US court has ruled that Apple infringed on one of Masimo's pulse oximeter patents with its Apple Watch Series 6 and up, a significant setback in their ongoing legal battle. Masimo is now seeking a US import ban on all current Apple Watches, which could halt sales in the country. The United States International Trade Commission (USITC) will determine whether to implement this import ban.",9to5Mac,-0.371139,Bearish
AAPL,2023-01-11,Apple debuts free tool to help businesses get noticed,"Apple has launched a new free online tool called Apple Business Connect, designed to help businesses customize their information cards in Apple Maps and other services. This allows businesses to update details like hours, add photos, promote limited-time offers, and access analytics. The initiative aims to provide useful local information and potentially attract more engagement from merchants and consumers.",Axios,0.205877,Somewhat-Bullish
AAPL,2023-01-11,Apple to start using in-house screens from 2024 - Bloomberg News,"Apple plans to begin using its own custom displays in mobile devices starting in 2024, aiming to reduce reliance on external suppliers like Samsung and LG. The transition will start with high-end Apple Watches, followed by other devices including the iPhone, and will involve upgrading to microLED technology. This move is part of a broader strategy by Apple to bring more component production in-house, following similar shifts with chips from Broadcom and Intel.",Reuters,-0.08619,Neutral
AAPL,2023-01-11,Inari pares loss as analysts see limited impact from Apple's plan to drop Broadcom chip,"Inari Amertron Bhd shares recovered some losses after analysts indicated that Apple's plan to replace Broadcom chips with in-house designs would have a limited impact on Inari's outsourced semiconductor assembly and test (OSAT) business. Analysts noted Inari's direct exposure to Apple's revenue through Broadcom is relatively small (17-18%) and that Inari's involvement in complex RF filters is unlikely to be immediately affected. Despite a maintained ""market perform"" rating with a slightly reduced target price, some analysts suggest the negative news is already priced in, presenting a potential buying opportunity.",The Edge Malaysia,0.037126,Neutral
AAPL,2023-01-11,Kuo doubles down on iPhone 15 Pro having no physical buttons,"Analyst Ming-Chi Kuo has reiterated his claim that the iPhone 15 Pro will feature solid-state buttons instead of physical ones, similar to the iPhone SE 2's home button. His latest survey indicates that Cirrus Logic will be the exclusive supplier of the Taptic Engine's controller IC for this change. Kuo also predicts that if users respond positively, this technology may be adopted in other high-end models in the future, alongside rumors of a rounded, titanium chassis for the iPhone 15 range.",AppleInsider,0.378315,Bullish
AAPL,2023-01-12,Back Again At Comparing Skyworks Vs. Qorvo (NASDAQ:SWKS),"This article compares Skyworks Solutions and Qorvo, both RF suppliers currently trading at low P/E ratios. It highlights Qorvo's transparency regarding market details and Skyworks' stable growth due to its strong ties with Apple. The author also suggests Qorvo has a significant opportunity with Apple's business, especially given Qualcomm's apparent withdrawal.",Seeking Alpha,0.218752,Somewhat-Bullish
AAPL,2023-01-12,Buffett-Backed Taiwan Semiconductor Braces for Chip-Sector Downturn,"Taiwan Semiconductor Manufacturing (TSMC) reported record profits for its fourth quarter, exceeding analyst expectations, but also issued a warning about a potential downturn in demand for 2023. This news comes as the company, backed by Warren Buffett's Berkshire Hathaway, indicates higher costs for building facilities in the U.S. compared to Taiwan. TSMC is preparing for a challenging period in the chip sector despite its strong recent financial performance.",Barron's,-0.171502,Somewhat-Bearish
AAPL,2023-01-12,"IDC, Gartner: 2022 PC Demand Dropped To Its ‘Lowest Level In Years’","PC demand in 2022 dropped significantly to its lowest level in years, according to reports from IDC and Gartner. This decline was attributed to global recession, inflation, higher interest rates, and consumers already owning newer PCs purchased during the pandemic. The business market too saw a decline as enterprise buyers extended PC life cycles and delayed purchases, with growth not expected until 2024.",CRN,-0.297889,Somewhat-Bearish
AAPL,2023-01-12,Meta faces a future of more legal woes and falling revenues,"Meta, formerly Facebook, is experiencing significant challenges including plummeting stock value, falling revenues, and increasing regulatory scrutiny, a situation that worsened after its rebrand in October 2021. Despite investor concerns and substantial losses from its metaverse division, Reality Labs, CEO Mark Zuckerberg remains committed to heavy investment in the metaverse. The company also faces ongoing legal battles, hefty fines for data privacy breaches, and a class-action lawsuit settlement, exacerbating doubts about its future prospects.",DW.com,-0.249097,Somewhat-Bearish
AAPL,2023-01-12,Starbucks tells corporate employees to return to office 3 days a week,"Starbucks is requiring corporate employees to return to the office three days a week by the end of January, a move announced by interim CEO Howard Schultz. This decision comes as other major companies like Disney, Apple, and Snapchat's parent company are also enforcing stricter return-to-office policies, with some citing low compliance with previous hybrid work arrangements. The shift reflects a broader trend of companies clamping down on remote work that became common during the Covid-19 pandemic.",CNN,0.129551,Neutral
AAPL,2023-01-12,Starbucks tells corporate employees to return to the office,"Starbucks is requiring its corporate employees to return to the office for a minimum of three days a week, with specific days designated for in-person collaboration. Interim CEO Howard Schultz stated in a memo that the policy, effective January 30, aims to rebuild company culture, foster human connection, and ensure fairness among employees, especially considering store and plant workers who could not work remotely. This move aligns Starbucks with other companies like Disney and Apple that have also implemented stricter return-to-office mandates.",Chain Store Age,0.102277,Neutral
AAPL,2023-01-13,Apple CEO Tim Cook to take a more than 40 percent pay cut,"Apple CEO Tim Cook is set to take a more than 40 percent pay cut in 2023, reducing his target compensation to $49 million, down from nearly $100 million in previous years. This adjustment was made due to shareholder feedback, the company's performance, and Cook's own recommendation. The compensation committee aimed to align his pay between the 80th and 90th percentiles relative to peer groups for future years.",Al Jazeera,-0.140985,Neutral
AAPL,2023-01-13,Apple CEO Tim Cook to take more than 40% pay cut,"Apple CEO Tim Cook will receive a target total compensation of $49 million in 2023, marking a pay cut of over 40% from the previous year. This adjustment comes after Apple's compensation committee considered shareholder feedback on executive pay and a recommendation from Cook himself. While his base salary remains $3 million, equity awards have been restructured to align his compensation between the 80th and 90th percentiles relative to Apple's peer group.",AP News,-0.108837,Neutral
AAPL,2023-01-13,Apple Takes Major Steps Toward ‘Owning’ Its Key Technology,Apple (AAPL) is reportedly taking significant steps to assert greater control over its proprietary technology. This initiative involves increasingly developing its own in-house chips and custom displays. Such moves signify a strategic shift towards self-reliance and vertical integration within the company's product development.,Bloomberg.com,0.404607,Bullish
AAPL,2023-01-13,How Both Taiwan and the US Can Benefit from TSMC's Investment,"Taiwan Semiconductor Manufacturing Co. (TSMC) is increasing its investment in the U.S. to $40 billion, building a second factory in Phoenix, Arizona. This move, supported by the CHIPS and Science Act, aims to strengthen the U.S. domestic semiconductor industry and diversify global supply chains. Experts suggest that while complete self-sufficiency for the U.S. might be unrealistic, this investment helps address critical dependencies, enhances national security, and fosters innovation in chip manufacturing.",Northeastern Global News,0.362674,Bullish
AAPL,2023-01-13,Oracle jumps into payments for retailers,"Oracle has expanded its services for retailers to include in-store payment acceptance, offering tap-to-pay capabilities for various payment methods like debit, credit, Apple, Google, and Samsung digital wallets. This new feature, which became available in December, will be sold at a fixed fee without long-term contracts or minimum monthly payment volumes. Oracle aims to provide a more stable and cost-effective ""payment to processing"" solution, integrating it with their existing hardware and cloud-based software for inventory and staff management.",Payments Dive,0.319296,Somewhat-Bullish
AAPL,2023-01-16,"From Apple To Amazon And Toyota, Here Are The Top 10 Biggest Companies In The World","This article lists the top 10 biggest companies in the world based on revenue. Walmart, State Grid Corporation Of China, and Amazon lead the list, primarily highlighting a competition between US and Chinese firms. The article also includes companies from Japan and Germany, detailing their revenue, founding year, and number of employees.",Mashable India,0.141156,Neutral
AAPL,2023-01-17,Biometric Sensors Market Size to Touch USD 3.5829 million by 2030 According to Acumen Research and Consulting,"The global biometric sensors market is projected to grow from USD 1.3195 million in 2021 to USD 3.5829 million by 2030, exhibiting a compound annual growth rate (CAGR) of 11.9% from 2022 to 2030. This growth is driven by increasing demand for secure authentication, advancements in technology, and wider adoption in various sectors like healthcare, banking, and government. Despite its growth, the market faces challenges due to lack of standardization, high implementation costs, and privacy concerns.",GlobeNewswire,0.342334,Somewhat-Bullish
AAPL,2023-01-18,Goldman Sachs Vs. Jefferies: Which Is the Better Investment?,"This article compares Goldman Sachs (GS) and Jefferies Financial Group (JEF) as investment opportunities, especially in light of Berkshire Hathaway's decision to exit its Goldman Sachs position and initiate a new, albeit small, position in Jefferies. The author highlights Jefferies' smaller size, focused strategy in investment banking, higher dividend yield, and lower valuation as potential advantages over the larger and more diversified Goldman Sachs, suggesting a rationale for Berkshire Hathaway's move. Though both firms are performing well, the piece implies Jefferies may have greater long-term growth potential.",GuruFocus,0.111155,Neutral
AAPL,2023-01-18,TSMC expects revenue to fall amid declining chip demand,"Taiwan Semiconductor Manufacturing Co. (TSMC) anticipates a decline in revenue for 2023 due to softening demand for chips, particularly from consumer device and data center clients. Despite a 26.7% year-over-year revenue increase in Q4, the company expects a more than 14% drop in Q1 revenue. TSMC forecasts the semiconductor market to bottom out in the first half of 2023, with a recovery expected in the second half, and is adjusting its spending plans accordingly while still investing in new facilities like the Arizona fab.",Supply Chain Dive,-0.233998,Somewhat-Bearish
AAPL,2023-01-18,Temu Review: What Is Temu and Why Is It Suddenly America’s Most Popular App?,"Temu, the American sister brand of China's Pinduoduo, has rapidly become America's most popular shopping app since its U.S. launch last fall. Its success is primarily attributed to extremely low prices, free shipping, and aggressive advertising. While the author found good deals on certain electronics and kitchen items, he advises caution on other categories and notes the app's business model involves cutting out middlemen for direct sales.",InsideHook,0.090277,Neutral
AAPL,2023-01-19,Apple’s Reliance On China Poses A Problem For The Company,"This article discusses Apple's significant reliance on its supply chain in China and the challenges this poses for the company amidst growing geopolitical tensions and trade barriers between the US and China. It highlights how Apple's deep integration with Chinese manufacturing, including specialized labor and R&D, makes disentanglement difficult, even as the US government increases pressure through tariffs, forced labor prevention acts, and technology export controls. The article suggests that while Apple is starting to move some operations, achieving true independence from China will be a slow and arduous process.",Forbes,-0.320095,Somewhat-Bearish
AAPL,2023-01-19,Global X S&p 500 Covered Call Etf Share Price,"This article provides detailed financial information for the Global X S&P 500 Covered Call ETF (XYLD), including its current share price, performance metrics, historical returns, and fundamental data like expense ratio and AUM. It also lists the top holdings, sector breakdown, market cap distribution, and offers insights on its performance against peers and market cap movements. The article concludes with an FAQ section on investing in XYLD from India.",INDmoney,0.113372,Neutral
AAPL,2023-01-19,"Netflix’s Reed Hastings steps aside as co-CEO, stays on as executive chairman","Netflix co-founder Reed Hastings has stepped down as co-CEO, transitioning to executive chairman, with COO Greg Peters joining Ted Sarandos as co-CEO. This leadership change comes as Netflix aims to reaccelerate growth amid increased competition and a slowdown in subscriber numbers. The company reported slower fourth-quarter revenue but exceeded subscriber expectations, attributing success to popular shows and new initiatives like an ad-supported plan and paid password sharing.",Los Angeles Times,0.090183,Neutral
AAPL,2023-01-21,予算3万円台の「スマートウォッチ」おすすめ5選　人気の「Apple Watch SE」から、コスパが良い高機能モデルまで【2023年1月版】 - Fav-Log by ITmedia,"This article recommends five smartwatches under 30,000 yen, including popular models like the Apple Watch SE and high-performance, cost-effective alternatives. It caters to users looking for smartwatches equipped with functions like health tracking, mobile payments, and sports activity monitoring. The selection includes devices suitable for various needs, from outdoor enthusiasts to those prioritizing design.",ITmedia,0.171362,Somewhat-Bullish
AAPL,2023-01-23,7 Growth Stocks That Will Make You Rich in 10 Years,"This article identifies seven growth stocks across diverse high-demand sectors like technology, cybersecurity, nanotechnology, healthcare, and electric vehicles that are positioned to generate significant wealth for investors within the next decade. The selected companies, including Apple, Palo Alto Networks, Applied Materials, Intuitive Surgical, Welltower, ChargePoint, and Marathon Digital, are highlighted for their potential to capitalize on future market trends and innovation. Despite current market hesitations, the author emphasizes the long-term potential of these companies based on their strategic positioning and projected growth.",InvestorPlace,0.39555,Bullish
AAPL,2023-01-23,How Apple’s Upcoming Mixed-Reality Headset Will Work,"Apple's upcoming mixed-reality headset, likely named Reality Pro, is an ambitious attempt to create a 3D version of iOS with advanced eye and hand-tracking. Priced around $3,000, it aims to revolutionize virtual meetings and immersive video, challenging Meta Platforms Inc.'s dominance in the VR industry. This launch marks Apple's first major new product category since the Apple Watch in 2015, representing a significant strategic move for the company.",Bloomberg.com,0.236739,Somewhat-Bullish
AAPL,2023-01-23,"Nokia Corp. ADR rises Monday, still underperforms market","Nokia Corp. ADR (NOK) saw a slight increase of 0.43% on Monday, closing at $4.63. Despite this rise, the stock underperformed the broader market, as both the NASDAQ Composite and Dow Jones Industrial Average rose more significantly. The gain broke a four-day losing streak for Nokia ADR, though it remained below its 52-week high and lagged behind competitors like BlackBerry Ltd., Apple Inc., and Motorola Solutions Inc.",MarketWatch,0.248892,Somewhat-Bullish
AAPL,2023-01-23,Silicon Valley 2.0? 5 US cities that could be the new tech start-up central,"Several southern US cities are emerging as new tech hubs, drawing companies like Tesla, Apple, Oracle, Microsoft, and Google away from California's Silicon Valley. High tax rates, labor costs, regulations, and a declining quality of life in Silicon Valley are pushing these companies to look for more affordable and business-friendly environments in states such as Texas, Arizona, Georgia, and Florida. These new tech centers offer incentives, lower costs of living, and new luxury residential developments to accommodate the influx of workers.",South China Morning Post,0.308999,Somewhat-Bullish
AAPL,2023-01-24,Apple builds on privacy commitment by unveiling new education and awareness efforts on Data Privacy Day,"In celebration of Data Privacy Day, Apple has launched new educational resources to help users manage their data. These efforts include a ""Today at Apple"" session focusing on iPhone privacy features and a partnership with Nick Mohammed for a short film titled ""A Day in the Life of an Average Person’s Data"" to raise awareness. Apple emphasizes that privacy is a fundamental human right, built into all its products and services.",Apple,0.405296,Bullish
AAPL,2023-01-24,Nokia Corp. ADR underperforms Tuesday when compared to competitors,"Nokia Corp. ADR (NOK) dropped 1.73% to $4.55 on Tuesday, performing worse than many of its competitors, despite a mixed day for the broader stock market. The Dow Jones Industrial Average rose while the NASDAQ Composite Index fell. Nokia's ADR closed significantly below its 52-week high, and its trading volume was higher than its 50-day average.",MarketWatch,0.219279,Somewhat-Bullish
AAPL,2023-01-25,"Big Tech to Congress: Listen to Taylor Swift and Go After Ticketmaster, Not Us","Lobbyists for major technology companies capitalized on public outrage over Ticketmaster's handling of Taylor Swift concert tickets to deflect congressional antitrust scrutiny away from Big Tech. They argued that Congress should focus on clear monopolies like Ticketmaster, implying that existing antitrust laws are sufficient and that efforts to reform them to target tech giants are misguided. This strategy led to a Senate Judiciary Committee hearing focusing on Live Nation/Ticketmaster's monopolistic practices instead of Big Tech.",The Intercept,-0.254598,Somewhat-Bearish
AAPL,2023-01-25,Choice Hotels Opens Cambria Hotel Austin Uptown Near the Domain,"Choice Hotels International has opened the Cambria Hotel Austin Uptown Near the Domain, marking its second property in Austin, Texas, with a third on the way. The 135-room hotel is strategically located in Austin's high-tech corridor, providing convenient access to major tech companies and local attractions. It offers modern amenities and design-forward accommodations aimed at both business and leisure travelers.",Hotel Online,0.186543,Somewhat-Bullish
AAPL,2023-01-25,Goldman Sachs signals partial retreat from consumer banking,"Goldman Sachs is partially retreating from its consumer banking efforts after accumulating $3 billion in losses since 2020. The firm is scrapping plans for a checking account and winding down its personal loan business, Marcus, to refocus on its core investment banking and wealth management services. While a popular savings account and credit card business will continue, the losses in consumer lending have attracted regulatory scrutiny.",Associated Press News,-0.087244,Neutral
AAPL,2023-01-26,"AST SpaceMobile raises $75 million, partners with TIM Brasil","AST SpaceMobile has raised $75 million through an offering of Class A Common Stock and formed a partnership with Brazilian telco TIM Brasil. The funds will support the production and launch of the company's commercial satellites, while the partnership will enable TIM Brasil to test AST SpaceMobile's satellite-based 4G services in remote Brazilian locations. This move highlights AST SpaceMobile's mission to connect unserved areas and positions it alongside other companies in the growing satellite-to-phone connectivity market.",Data Center Dynamics,0.306694,Somewhat-Bullish
AAPL,2023-01-26,IBM Is Tech’s Most Beaten-Down Company,"This article argues that IBM has significantly fallen from its former prominence, ranking 49th on the Fortune 500 compared to 8th in 1980. Its recent financial results show flat revenue and modest net income, trailing far behind other tech giants like Apple, Amazon, and Microsoft. The author criticizes IBM for missing key technological advancements such as cloud computing, search, e-commerce, and operating systems despite its past R&D capabilities.",24/7 Wall St.,-0.408878,Bearish
AAPL,2023-01-27,Is Augmented Reality safe?,"Augmented Reality (AR) blends digital information with the real world, raising significant safety concerns despite its benefits. The article highlights potential dangers in privacy, security, and mental health, including data collection, cyber-attacks, and the addictive nature of AR. It emphasizes the need for careful consideration and control as AR technology becomes more integrated into daily life.",Sify News,0.007024,Neutral
AAPL,2023-01-29,"Save $200 on the Sonos Arc Soundbar, now $699 (lowest price ever)","The Sonos Arc Soundbar is currently available for $699, a $200 discount that marks its lowest recorded price, even beating Black Friday deals. This offer from Adorama applies to the white model and is for a limited time. The soundbar was rated 4.5 out of 5 in a hands-on review for its rich sound, substantial bass, and Dolby Atmos support.",AppleInsider,0.20441,Somewhat-Bullish
AAPL,2023-01-30,Apple takes first steps towards 'Made in India' AirPods,"Apple has begun manufacturing components for its AirPods in India, marking a significant step towards the ""Made in India"" initiative for its products beyond the iPhone. Jabil Inc, an Apple supplier, is producing AirPods enclosures in Pune, India, and shipping them to China and Vietnam for assembly. This move is part of Apple's broader strategy to reduce its reliance on Chinese manufacturing and diversify its supply chain.",Times of India,0.336868,Somewhat-Bullish
AAPL,2023-01-30,Google continued to ramp up federal lobbying spending before DOJ filed second antitrust lawsuit,"Google's parent company, Alphabet, significantly increased its federal lobbying expenditures, spending over $13 million in 2022, prior to the Department of Justice filing its second antitrust lawsuit. The lawsuit alleges Google monopolized the digital advertising technology sector by acquiring rivals and manipulating the auction process to stifle competition. Despite these lobbying efforts and substantial political contributions, particularly to Democratic candidates, Alphabet also announced mass layoffs of 12,000 employees in January 2023.",OpenSecrets,-0.368611,Bearish
AAPL,2023-01-30,‘Acapulco’ Renewed for Season 3 at Apple,"Apple has renewed its series ""Acapulco"" for a third season, which will consist of 10 episodes and begin production in the spring. The show stars Eugenio Derbez and is inspired by the film ""How to Be A Latin Lover."" The cast includes Enrique Arrizon, Fernando Carsa, Damián Alcázar, and others, continuing the story of Máximo Gallardo at a resort in 1985 and his older self in the present day.",Variety,0.392746,Bullish
AAPL,2023-01-31,"Apple workplace rules violate U.S. labor law, agency finds","A U.S. labor agency has found that Apple Inc. maintains workplace policies that unlawfully discourage employees from discussing working conditions. The National Labor Relations Board plans to issue a complaint unless Apple settles, citing policies around confidentiality and surveillance, and past comments from CEO Tim Cook that allegedly stymied worker organizing. Former Apple senior engineering manager Ashley Gjovik filed the initial complaints in 2021, and the NLRB investigates such charges.",Reuters,-0.347086,Somewhat-Bearish
AAPL,2023-01-31,Exxon Vaults to Record Annual Profit of $55.7 Billion,"Exxon Mobil Corp. achieved a record annual profit of $55.7 billion in 2022, marking a significant recovery after suffering losses during the pandemic and a historic proxy fight in 2021. This surge was primarily driven by soaring oil and gas prices globally, allowing Exxon to surpass most major companies in profitability, except for Apple and Microsoft. The company's resurgence reflects a turnaround in its financial performance and market standing.",The Wall Street Journal,0.511683,Bullish
AAPL,2023-01-31,Get Your Game on With Build-a-Bear's New 'Ted Lasso' Collection,"Build-A-Bear has launched a new collection of plush toys inspired by Apple TV+'s hit series, ""Ted Lasso."" The collection features a Coach Lasso bear, complete with team kit and mustache, along with accessories like aviator sunglasses and a Union Jack mug. Fans can also find AFC Richmond accessories to dress up other cuddly toys as they eagerly await the third season of the Emmy-winning show.",Collider,0.363552,Bullish
AAPL,2023-01-31,"Netflix Inc. stock rises Tuesday, still underperforms market","Netflix Inc. stock saw a modest increase of 0.21% on Tuesday, closing at $353.86, despite a strong day for the broader market with the S&P 500 and Dow Jones also rising. The stock's performance underperformed compared to competitors like Apple, Walt Disney, and Comcast, and it remained significantly below its 52-week high. Trading volume was also notably lower than its 50-day average.",MarketWatch,0.100436,Neutral
AAPL,2023-02-01,Spotify Reports Q4 2022 Earnings: Strong User Growth and Widened Losses,"Spotify reported strong Q4 2022 earnings, with revenue up 18% year-over-year to 3.17 billion euros ($3.43 billion) and monthly active users increasing by 20% to 489 million. However, the company's losses widened significantly due to higher personnel and advertising costs, leading to a planned 6% reduction in headcount. For Q1 2023, Spotify expects continued revenue growth and user base expansion, aiming for 500 million monthly active users, but anticipates an operating loss.",Coinspeaker,0.082691,Neutral
